GAMEPLAY_CoffeeCupDescription,A cup of coffee.,,Một tách cà phê.
GAMEPLAY_CoffeeCups,Cups of Coffee,,Tách cà phê
GAMEPLAY_CoffeeTin,Tin of Coffee,,
GAMEPLAY_CoffeeTinDescription,"A tin of ground coffee. Who knows how long it's been sitting here? A drink that can take the edge off fatigue, and warm your insides on a cold night.",,
GAMEPLAY_Cold,Cold,,
GAMEPLAY_Colder,Colder,,
GAMEPLAY_ColdPostfix,(Cold),,
GAMEPLAY_CommutersLament,Commuter's Lament,,
GAMEPLAY_CompressionBandage,Compression Bandage,,
GAMEPLAY_CompressionBandageDescription,"A compression bandage, used to constrict movement on an injury.",,
GAMEPLAY_CondensedMilk,Condensed Milk,,
GAMEPLAY_CondensedMilkDescription,"Sweetened, thickened milk in a can. Keeps forever.",,
GAMEPLAY_Conditiontoolowtoharvest,Carcass Condition too low to harvest,,
GAMEPLAY_Confirm,Confirm,,Xác nhận
GAMEPLAY_ConfirmQuitMessage,Are you sure you want to quit? Any unsaved progress will be lost!,,
GAMEPLAY_ConsoleLOCKED,Console LOCKED,,
GAMEPLAY_ConsoleUNLOCKED,Console UNLOCKED,,
GAMEPLAY_ConsoleUseDetected,Console Use Detected,,
GAMEPLAY_Container,Container,,
GAMEPLAY_ContainerCannotBeOpened,{item-name} is ruined and cannot be opened,,
GAMEPLAY_ContainerCannotHoldWeight,Container cannot hold that much weight,,
GAMEPLAY_ContainerHeader,Container:,,
GAMEPLAY_ContractedDysenteryHUD,Contracted dysentery,,
GAMEPLAY_ContractedDysenteryLog,Contracted dysentery.,,
GAMEPLAY_ContractedFoodPoisoningHUD,Contracted food poisoning,,
GAMEPLAY_ContractedFoodPoisoningLog,Contracted food poisoning.,,
GAMEPLAY_Controls,Controls,,
GAMEPLAY_Cook,Cook,verb,
GAMEPLAY_CookedCohoSalmon,Coho Salmon (Cooked),,
GAMEPLAY_CookedCohoSalmonDescription,"Salmon, cooked on a fire. One of life's better things.",,
GAMEPLAY_CookedLakeWhiteFish,Lake Whitefish (Cooked),,
GAMEPLAY_CookedLakeWhiteFishDescription,"Cooked whitefish. A bit tasteless, but better than nothing.",,
GAMEPLAY_CookedRainbowTrout,Rainbow Trout (Cooked),,
GAMEPLAY_CookedRainbowTroutDescription,A bit scorched but wonderful tasting.,,
GAMEPLAY_CookedSmallMouthBass,Smallmouth Bass (Cooked),,
GAMEPLAY_CookedSmallMouthBassDescription,A feast as good for the soul as for the stomach.,,
GAMEPLAY_CookingProgress,Cooking...,,
GAMEPLAY_Corpse,Corpse,,
GAMEPLAY_CottonLongUnderwear,Cotton Long Underwear,,
GAMEPLAY_CottonLongUnderwearDescription,Cotton Long-Johns to keep your legs warm.,,
GAMEPLAY_CottonSocks,Cotton Socks,,
GAMEPLAY_CottonSocksDescription,"Thin cotton socks. Not very warm and useless when wet, but better than nothing.",,
GAMEPLAY_CraftFor,Craft For,,
GAMEPLAY_Crafting,Crafting,,
GAMEPLAY_CraftingProgress,Crafting...,,
GAMEPLAY_CraftingSkill,Crafting Skill,,
GAMEPLAY_CraftingSkillIncreased,Crafting skill increased to {%-value},,
GAMEPLAY_Crate,Crate,,
GAMEPLAY_Crouch,Crouch,,
GAMEPLAY_Cupboard,Cupboard,,
GAMEPLAY_CurrentCalories,Current Calories,,
GAMEPLAY_CurrentTime,Current Time,,
GAMEPLAY_DavesQuietClearing,Dave's Quiet Clearing,,
GAMEPLAY_Day,Day,,Ngày
GAMEPLAY_day,day,,ngày
GAMEPLAY_DayNumberFraction,Day {curr-value}/{total-value},,Ngày {curr-value}/{total-value}
GAMEPLAY_days,days,,ngày
GAMEPLAY_daysShortForm,d,,d
GAMEPLAY_DeadfallArea,Deadfall Area,,
GAMEPLAY_DeathBearAttack,You died from loss of blood and shock from a bear attack,,Bạn chết do sốc và mất máu bởi gấu tấn công 
GAMEPLAY_DeathBloodLoss,You died from blood loss,,Bạn chết vì mất máu
GAMEPLAY_DeathBloodLossSleeping,You died from blood loss while sleeping,,Bạn chết vì mất máu trong khi ngủ
GAMEPLAY_DeathBurning,You burned to death,,
GAMEPLAY_DeathDehydrate,You died from dehydration,,Bạn chết vì mất nước
GAMEPLAY_DeathDehydrateExhausted,You died from dehydration and exhaustion,,Bạn chết vì mất nước và kiệt sức
GAMEPLAY_DeathDehydrateExhaustedFreeze,"You died from dehydration, exhaustion, and exposure",,
GAMEPLAY_DeathDehydrateFreeze,You died from dehydration and exposure,,
GAMEPLAY_DeathDysentery,You died from dysentery,,Bạn chết vì bệnh kiệt lỵ
GAMEPLAY_DeathDysenterySleeping,You died from dysentery while sleeping,,Bạn chết vì bệnh kiệt lỵ trong khi ngủ
GAMEPLAY_DeathExhausted,You died from exhaustion,,Bạn chết vì kiệt sức
GAMEPLAY_DeathExhaustedFreeze,You died from exhaustion and exposure,,
GAMEPLAY_DeathFadedLongDark,You faded into The Long Dark...,,
GAMEPLAY_DeathFalling,You died from massive internal injuries after falling,,
GAMEPLAY_DeathFoodPoisoning,You died from food poisoning,,Bạn chết vì ngộ độc thực phẩm
GAMEPLAY_DeathFoodPoisoningSleeping,You died from food poisoning while sleeping,,Bạn chết vì ngộ độc thực phẩm trong khi ngủ
GAMEPLAY_DeathFreeze,You died from exposure,,
GAMEPLAY_DeathIceCracking,You drowned after falling through cracked ice,,
GAMEPLAY_DeathInfection,You died from infection,,Bạn chết vì nhiễm trùng
GAMEPLAY_DeathInfectionSleeping,You died from infection while sleeping,,Bạn chết vì nhiễm trùng trong khi ngủ
GAMEPLAY_DeathStarve,You died from starvation,,
GAMEPLAY_DeathStarveDehydrate,You died from starvation and dehydration,,
GAMEPLAY_DeathStarveDehydrateExhausted,"You died from starvation, dehydration, and exhaustion",,
GAMEPLAY_DeathStarveDehydrateExhaustedFreeze,"You died from starvation, dehydration, exhaustion, and exposure",,
GAMEPLAY_DeathStarveDehydrateFreeze,"You died from starvation, dehydration, and exposure",,
GAMEPLAY_DeathStarveExhausted,You died from starvation and exhaustion,,
GAMEPLAY_DeathStarveExhaustedFreeze,"You died from starvation, exhaustion, and exposure",,
GAMEPLAY_DeathStarveFreeze,You died from starvation and exposure,,
GAMEPLAY_DeathWolfAttack,You died from loss of blood and shock from a wolf attack,,
GAMEPLAY_Debug,Debug,,
GAMEPLAY_DebugScreenshot,Debug Screenshot,,
GAMEPLAY_Decrease,Decrease,,Giảm
GAMEPLAY_DeerCarcass,Deer Carcass,,
GAMEPLAY_DeerHide,Fresh Deer Hide,,
GAMEPLAY_DeerHideDescription,Freshly harvested hide from a Deer.,,
GAMEPLAY_DeerSkinBoots,Deerskin Boots,,
GAMEPLAY_DeerSkinBootsDescription,"Handcrafted boots. Supple, but warm and tough.",,
GAMEPLAY_DegradedHUDMessage,{item-name} degraded to {%-value}% condition,,
GAMEPLAY_DegreesCUnits,°C,,°C
GAMEPLAY_DegreesFUnits,°F,,°F
GAMEPLAY_Dehydrated,Dehydrated,,
GAMEPLAY_Derailment,Derailment,,
GAMEPLAY_Description,Description,,Mô tả
GAMEPLAY_Disabled,Disabled,,Tắt
GAMEPLAY_Disclaimer,"-- DISCLAIMER --

You are about to play the Alpha version of The Long Dark, a post-disaster survival experience. We are constantly improving the game, which sometimes introduces bugs. We are constantly balancing the game, which means the experience can vary from update to update. This is part of the exploratory process of developing an Alpha with feedback from the community. We appreciate your patience as we continue to build the game, and we hope you can see the love we have put into it.

***

As the result of the geomagnetic disaster which serves as part of the fictional foundation of the game, we have taken liberties with the portrayal of wildlife behaviour. This geomagnetic disaster will be explained in the Story mode. We are not attempting to create ""realistic"" wildlife behaviour in the game. We know that Wolves do not typically attack people.

Hinterland Studio Inc. does not condone the wanton destruction of wildlife. 

***

www.hinterlandgames.com
www.twitter.com/hinterlandgames
www.facebook.com/intothelongdark",,
GAMEPLAY_DiscoveredLocation,Discovered {loc-name}.,,
GAMEPLAY_Display,Display,,Hiển thị
GAMEPLAY_Distancetravelledduringday,Distance travelled during day,,
GAMEPLAY_Distancetravelledduringnight,Distance travelled during night,,
GAMEPLAY_DogFood,Dog Food,,Thức ăn chó
GAMEPLAY_DogFoodDescription,"Can of wet dog food. Smells bad, but eating it is better than starving. Probably.",,
GAMEPLAY_Door,Door,,Cửa
GAMEPLAY_DownSkiJacket,Down Ski Jacket,,
GAMEPLAY_DownSkiJacketDescription,"Down-filled ski jacket. Designed to keep the core warm, but minimal windblocking capability.",,
GAMEPLAY_DownVest,Down Vest,,
GAMEPLAY_DownVestDescription,Down-filled top-layer that warms the core but leaves the arms exposed. Very light.,,
GAMEPLAY_DrankItem,Drank {item-name}.,,
GAMEPLAY_DrankWaterQuantityQuality,Drank {quant-value} {qual-value} water.,,
GAMEPLAY_Drawer,Drawer,,
GAMEPLAY_Drink,Drink,,
GAMEPLAY_DRINK,DRINK,,
GAMEPLAY_DrinkingProgress,Drinking...,,
GAMEPLAY_Drop,Drop,,
GAMEPLAY_DropAll,Drop All,,
GAMEPLAY_DropDecoy,Drop Decoy,,
GAMEPLAY_DroppedItem,{item-name} dropped,,
GAMEPLAY_Dryer,Dryer,,
GAMEPLAY_Dysentery,Dysentery,,
GAMEPLAY_DysenteryDescription,You drank non-potable water and are now suffering an intestinal disease. You will weaken and die of dehydration unless you can treat it.,,
GAMEPLAY_DysenteryHasPassed,Dysentery Has Passed,,
GAMEPLAY_East,East,,
GAMEPLAY_Eat,Eat,,Ăn
GAMEPLAY_EAT,EAT,,ĂN
GAMEPLAY_EatingProgress,Eating...,,Đang ăn...
GAMEPLAY_Embers,Embers,a fire burnt down to just embers,
GAMEPLAY_EmptyPostfix,(Empty),,(Trống)
GAMEPLAY_Encumbered,Encumbered,,
GAMEPLAY_EnergyBar,Energy Bar,,
GAMEPLAY_EnergyBarDescription,"Energy in a bar. Chocolate, nuts, healthy stuff.",,
GAMEPLAY_English,English,Do not translate,
GAMEPLAY_EnterFlyMode,Enter Fly Mode,,
GAMEPLAY_EnterVehicle,Enter Vehicle,,
GAMEPLAY_Equip,Equip,,
GAMEPLAY_EQUIP,EQUIP,,
GAMEPLAY_EquipFirearm,Equip Weapon,,
GAMEPLAY_EquipFlare,Equip Flare,,
GAMEPLAY_EquipLantern,Equip Lantern,,
GAMEPLAY_Equipment,Equipment,,
GAMEPLAY_EquipmentAlt,Equipment ALT,,
GAMEPLAY_EquippedPostfix,(Equipped),,
GAMEPLAY_Error,Error,,Lỗi
GAMEPLAY_ERROR,ERROR,,LỖI
GAMEPLAY_EstimatedCalories,Estimated Calories Burned,,
GAMEPLAY_EstimatedCaloriesBurned,Estimated Calories Burned,,
GAMEPLAY_EstimatedFireDuration,Estimated Fire Duration,,
GAMEPLAY_EstimatedTime,Estimated Time,,
GAMEPLAY_EstimatedWearOnItem,Estimated Wear on {item-name},,
GAMEPLAY_Evening,Evening,,
GAMEPLAY_Exhausted,Exhausted,,
GAMEPLAY_ExitFlyMode,Exit Fly Mode,,
GAMEPLAY_ExitVehicle,Exit Vehicle,,
GAMEPLAY_Experience,Experience,"As in ""Choose your experience""",
GAMEPLAY_ExperienceModeAlphaDisclaimer,NOTE: All tuning values are Alpha and many will likely change over time.,,
GAMEPLAY_ExperienceModeDescPilgrim,Wander the quiet apocalypse to chronicle the passing of an age. This is the poetry of survival.,Flavour text for the Pilgrim experience mode.,
GAMEPLAY_ExperienceModeDescPilgrimBullets,"•  For new or experienced players most interested in pensive Exploration.
•  Most survival elements tuned to be very forgiving.
•  Wildlife will not attack unless provoked.
•  Allows for 5 active Feats.","This text describes the selected experience mode (in this case, Pilgrim).",
GAMEPLAY_ExperienceModeDescStalker,"Your demise waits behind every hilltop, shelter, and tree. Only the strong survive.",Flavour text for the Stalker experience mode.,
GAMEPLAY_ExperienceModeDescStalkerBullets,"•  For veteran players looking for a punishingly challenging Survival experience.
•  Hostile wildlife is common, and will hunt you down.
•  All survival elements are tuned to be particularly challenging.
•  Allows for 3 active Feats.","This text describes the selected experience mode (in this case, Stalker).",
GAMEPLAY_ExperienceModeDescVoyageur,"Equal parts hunter and hunted, your struggle to survive will eventually lead to mastering the elements.",Flavour text for the Voyageur experience mode.,
GAMEPLAY_ExperienceModeDescVoyageurBullets,"•  For new or experienced players looking for a balance between Exploration and Survival.
•  Wildlife is sparse, but can seek you out.
•  Survival elements are challenging but resources are plentiful.
•  Allows for 4 active Feats.","This text describes the selected experience mode (in this case, Voyageur).",
GAMEPLAY_ExperiencingBloodLossHUD,Losing blood...,,Đang mất máu...
GAMEPLAY_ExperiencingBloodLossLog,Experiencing significant blood loss.,,
GAMEPLAY_Extinguishing,Extinguishing...,,Đang chữa cháy...
GAMEPLAY_Failed,Failed,,Thất bại
GAMEPLAY_Failedattempttostartfire,Failed attempt to start fire.,,
GAMEPLAY_Fatigue,Fatigue,,Mệt mỏi
GAMEPLAY_Feelslike,Feels like,,Nhiệt độ
GAMEPLAY_FileCabinet,File Cabinet,,
GAMEPLAY_FilterAll,All,,Tất cả
GAMEPLAY_FilterClothing,Clothing,,Quần áo
GAMEPLAY_FilterFirstAid,First Aid,,Sơ cứu
GAMEPLAY_FilterFoodAndDrink,Food And Drink,,Đồ ăn nước uống
GAMEPLAY_FilterMaterial,Material,,Vật liệu
GAMEPLAY_FilterOther,Other,,Khác
GAMEPLAY_FilterTool,Tool,,Công cụ
GAMEPLAY_Fire,Fire,,
GAMEPLAY_FireAxe,Fire Axe,,
GAMEPLAY_FireAxeDescription,A large axe of the kind used to break down doors during fires.,,
GAMEPLAY_FireBarrel,Fire Barrel,,
GAMEPLAY_FireDuration,Fire duration,,
GAMEPLAY_Firelog,Firelog,,
GAMEPLAY_FirelogDescription,Firelog made of chemicals and compressed shavings. Doesn't throw off much heat.,,
GAMEPLAY_FirePlace,Fire Place,,
GAMEPLAY_FirestarterHeader,Starter,,
GAMEPLAY_Firestriker,Firestriker,,
GAMEPLAY_FirestrikerDescription,Metal tool designed to help start fires in the wilderness.,,
GAMEPLAY_FirFirewood,Fir Firewood,,
GAMEPLAY_FirFirewoodDescription,"While not technically a hardwood, Fir burns like one.",,
GAMEPLAY_FirstAid,First Aid,,
GAMEPLAY_FirstAidKit,First Aid Kit,,
GAMEPLAY_FirstAidnotneeded,First Aid not needed,,
GAMEPLAY_FirstAidRest,{needed-value} Hours Rest,,
GAMEPLAY_FirstAidRestRemaining,{needed-value} Hours Rest ({remaining-value} Left),,
GAMEPLAY_FirstAidWater,Drink {needed-value} Clean Water,,
GAMEPLAY_FirstAidWaterRemaining,Drink {needed-value} Clean Water ({remaining-value} Left),,
GAMEPLAY_FishingCamp,Fishing Camp,,
GAMEPLAY_FishingLineSnapped,Fishing line snapped!,,
GAMEPLAY_FishingProgress,Fishing...,,
GAMEPLAY_FishingTackle,Fishing Tackle,,
GAMEPLAY_FishingTackleDescription,A hook and line used for catching fish.,,
